date,store_id,sku,product_category,total_sales_units,on_hand_inventory_units,replenishment_units,inventory_pipeline,units_in_transit,units_in_dc,units_on_order,units_under_promotion,shelf_capacity
20190529,63,57,Category 04,6,13,8,20,8,0,0,0,32
20190530,63,57,Category 04,3,18,0,26,0,0,8,0,32
20190531,63,57,Category 04,0,19,0,26,0,0,8,0,32
20190602,63,57,Category 04,8,11,0,10,0,0,0,0,32
20190604,63,57,Category 04,3,4,0,20,0,0,16,0,32
20190607,63,57,Category 04,0,2,0,18,0,0,16,0,32
20190617,63,57,Category 04,0,18,0,18,0,0,0,0,0
20190619,63,57,Category 04,0,18,0,25,0,0,8,0,0
20190620,63,57,Category 04,2,17,0,24,0,0,8,0,0
20190625,63,57,Category 04,8,10,0,17,0,8,0,0,32
20190630,63,57,Category 04,2,9,0,16,0,0,8,0,32
20190704,63,57,Category 04,2,11,8,18,8,0,0,0,32
20190708,63,57,Category 04,3,11,0,19,0,0,8,0,16
20190709,63,57,Category 04,2,10,8,18,8,0,0,0,16
20190712,63,57,Category 04,0,12,0,28,0,0,16,0,16
20190716,63,57,Category 04,0,20,0,20,0,0,0,0,0
20190717,63,57,Category 04,0,20,0,20,0,0,0,0,0
20190720,63,57,Category 04,0,19,0,35,0,0,16,0,16
20190721,63,57,Category 04,0,20,0,27,0,0,8,0,16
20190723,63,57,Category 04,2,15,16,31,16,0,0,0,16
20190724,63,57,Category 04,0,31,0,39,0,8,0,0,16
20190726,63,57,Category 04,2,29,0,29,0,0,0,0,16
20190731,63,57,Category 04,0,27,0,34,0,0,8,0,16
20190801,63,57,Category 04,2,26,0,34,0,8,0,0,16
20190802,63,57,Category 04,0,26,8,33,8,0,0,0,16
20190803,63,57,Category 04,3,31,0,31,0,0,0,0,16
20190804,63,57,Category 04,0,32,0,31,0,0,0,0,16
20190808,63,57,Category 04,2,20,0,27,0,0,8,0,16
20190809,63,57,Category 04,4,17,0,33,0,0,16,0,16
20190810,63,57,Category 04,0,17,0,32,0,0,16,0,16
20190812,63,57,Category 04,3,31,16,30,0,0,0,0,16
20190813,63,57,Category 04,3,28,0,28,0,0,0,0,16
20190814,63,57,Category 04,2,27,0,35,0,0,8,0,16
20190818,63,57,Category 04,0,34,0,41,0,0,8,0,16
20190819,63,57,Category 04,2,32,0,32,0,0,0,0,16
20190821,63,57,Category 04,0,32,0,39,0,0,8,0,16
20190823,63,57,Category 04,2,31,0,30,0,0,0,0,16
20190824,63,57,Category 04,2,30,0,37,0,0,8,0,16
20190826,63,57,Category 04,3,28,8,35,8,0,0,0,16
20190827,63,57,Category 04,2,34,0,42,0,8,0,0,16
20190828,63,57,Category 04,3,33,0,32,0,0,0,0,16
20190829,63,57,Category 04,3,31,0,30,0,0,0,0,16
20190902,63,57,Category 04,3,25,0,33,0,0,8,0,16
20190908,63,57,Category 04,0,15,0,23,0,8,0,0,16
20190909,63,57,Category 04,0,15,8,23,8,0,0,0,16
20190910,63,57,Category 04,0,15,0,31,8,0,8,0,16
20190911,63,57,Category 04,2,23,0,30,0,0,8,0,16
20190913,63,57,Category 04,3,21,0,28,0,0,8,0,16
20190916,63,57,Category 04,2,25,0,33,0,0,8,0,16
20190920,63,57,Category 04,0,23,0,30,0,0,8,0,16
20190925,63,57,Category 04,3,28,0,28,0,0,0,0,16
20190926,63,57,Category 04,0,29,0,28,0,0,0,0,16
20191004,63,57,Category 04,4,16,0,24,8,0,0,0,16
20191006,63,57,Category 04,0,19,0,27,0,0,8,0,16
20191007,63,57,Category 04,0,20,0,27,0,0,8,0,16
20191008,63,57,Category 04,4,16,0,24,0,8,0,0,16
20191011,63,57,Category 04,0,23,0,22,0,0,0,0,16
20191016,63,57,Category 04,2,16,0,23,0,8,0,0,16
20191018,63,57,Category 04,4,11,0,27,8,0,8,0,16
20191020,63,57,Category 04,0,17,0,33,0,16,0,0,16
20191022,63,57,Category 04,0,33,0,33,0,0,0,0,16
20191023,63,57,Category 04,0,34,0,33,0,0,0,0,16
20191026,63,57,Category 04,3,31,0,31,0,0,0,0,16
20191027,63,57,Category 04,0,32,0,31,0,0,0,0,16
20191102,63,57,Category 04,4,19,0,18,0,0,0,0,16
20191103,63,57,Category 04,3,19,0,18,0,0,0,0,16
20191105,63,57,Category 04,3,12,0,43,0,0,32,0,16
20191106,63,57,Category 04,4,9,0,40,0,0,32,0,16
20191110,63,57,Category 04,6,0,16,56,48,0,8,0,16
20191111,63,57,Category 04,0,48,0,64,0,16,0,0,16
20191112,63,57,Category 04,3,47,0,46,0,0,0,0,16
20191113,63,57,Category 04,2,46,0,45,0,0,0,0,16
20191114,63,57,Category 04,2,45,0,44,0,0,0,0,16
20191116,63,57,Category 04,7,34,0,34,0,0,0,0,16
20191126,63,57,Category 04,0,0,0,0,0,0,0,0,16
20191127,63,57,Category 04,0,24,16,40,16,0,0,0,16
20191130,63,57,Category 04,0,40,0,40,0,0,0,0,16
20191201,63,57,Category 04,0,41,0,40,0,0,0,0,16
20191202,63,57,Category 04,4,37,0,37,0,0,0,0,16
20191203,63,57,Category 04,0,38,0,37,0,0,0,0,16
20191208,63,57,Category 04,2,25,0,33,0,8,0,0,16
20191211,63,57,Category 04,0,33,0,40,0,0,8,0,16
20191212,63,57,Category 04,3,30,0,38,0,8,0,0,16
20191213,63,57,Category 04,0,30,8,46,8,0,8,0,16
20191214,63,57,Category 04,0,38,0,38,0,0,0,0,16
20191216,63,57,Category 04,2,36,0,35,0,0,0,0,16
20191217,63,57,Category 04,2,35,0,34,0,0,0,0,16
20191218,63,57,Category 04,3,32,0,32,0,0,0,0,16
20191226,63,57,Category 04,0,32,0,32,0,0,0,0,16
20191230,63,57,Category 04,0,33,0,32,0,0,0,0,16
20200101,63,57,Category 04,2,30,0,29,0,0,0,0,16
20200102,63,57,Category 04,4,27,0,34,0,0,8,0,16
20200107,63,57,Category 04,4,15,0,30,0,0,16,0,16
20200110,63,57,Category 04,2,26,16,33,0,0,8,0,16
20200114,63,57,Category 04,2,25,8,33,0,0,8,0,16
20200117,63,57,Category 04,0,19,0,27,0,8,0,0,16
20200123,63,57,Category 04,3,37,0,36,0,0,0,0,16
20200124,63,57,Category 04,6,32,0,31,0,0,0,0,16
20200126,63,57,Category 04,5,27,0,26,0,0,0,0,16
20200130,63,57,Category 04,6,14,0,13,0,0,0,0,16
20200201,63,57,Category 04,5,7,0,30,0,0,24,0,16
20200205,63,57,Category 04,2,4,24,36,24,0,8,0,16
20200206,63,57,Category 04,0,4,0,36,24,0,8,0,16
20200207,63,57,Category 04,2,28,0,35,0,0,8,0,16
20200209,63,57,Category 04,5,18,8,25,8,0,0,0,16
20200211,63,57,Category 04,2,23,0,31,0,0,8,0,16
20200215,63,57,Category 04,3,24,0,23,0,0,0,0,16
20200217,63,57,Category 04,4,20,0,27,0,0,8,0,16
20200221,63,57,Category 04,4,16,16,31,16,0,0,0,16
20200222,63,57,Category 04,7,25,0,25,0,0,0,0,16
20200224,63,57,Category 04,3,23,0,22,0,0,0,0,16
20200229,63,57,Category 04,2,14,0,29,0,0,16,0,16
20200303,63,57,Category 04,3,21,0,36,0,0,16,0,16
20200306,63,57,Category 04,5,17,0,32,0,0,16,0,16
20200312,63,57,Category 04,6,11,0,42,0,0,32,0,16
20200314,63,57,Category 04,2,3,0,18,0,0,16,0,16
20200317,63,57,Category 04,9,3,8,18,8,0,8,0,16
20200321,63,57,Category 04,2,-1,24,47,24,16,8,0,16
20200322,63,57,Category 04,0,23,0,23,0,0,0,0,16
20200323,63,57,Category 04,22,2,0,10,0,8,0,0,16
20200325,63,57,Category 04,0,9,0,8,0,0,0,0,16
20200326,63,57,Category 04,2,8,0,7,0,0,0,0,16
20200327,63,57,Category 04,3,5,0,21,0,0,16,0,16
20200330,63,57,Category 04,0,1,0,32,0,0,32,0,16
20200406,63,57,Category 04,4,12,0,27,0,0,16,0,16
20200408,63,57,Category 04,5,3,0,50,0,8,40,0,16
20200411,63,57,Category 04,5,14,0,29,0,0,16,0,16
20200412,63,57,Category 04,2,13,0,36,0,0,24,0,16
20200415,63,57,Category 04,7,2,0,2,0,0,0,0,16
20200417,63,57,Category 04,0,1,0,33,0,0,32,0,16
20200418,63,57,Category 04,0,1,0,33,0,0,32,0,16
20200419,63,57,Category 04,0,1,0,49,0,0,48,0,16
20200420,63,57,Category 04,0,1,0,41,0,0,40,0,16
20200421,63,57,Category 04,0,1,0,49,0,0,48,0,16
20200425,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200427,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200430,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200506,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200507,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200508,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200511,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200513,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200514,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200515,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200517,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200519,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200525,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200527,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200529,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200604,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200608,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200609,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200611,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200612,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200613,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200617,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200618,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200619,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200623,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200624,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200627,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200630,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200702,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200703,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200706,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200707,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200709,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200715,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200716,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200717,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200718,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200719,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200722,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200723,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200724,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200725,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200728,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200729,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200802,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200806,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200809,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200810,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200812,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200813,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200815,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200817,63,57,Category 04,0,0,0,8,0,0,8,0,16
20200818,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200820,63,57,Category 04,0,0,0,0,0,0,0,0,16
20200823,63,57,Category 04,0,0,8,16,8,0,8,0,16
20200825,63,57,Category 04,0,8,8,16,8,0,0,0,16
20200826,63,57,Category 04,0,8,0,16,8,0,0,0,16
20200828,63,57,Category 04,4,12,0,11,0,0,0,0,16
20200829,63,57,Category 04,3,9,0,9,0,0,0,0,16
20200902,63,57,Category 04,0,1,0,33,0,0,32,0,16
20200903,63,57,Category 04,0,1,0,33,0,0,32,0,16
20200905,63,57,Category 04,0,1,32,33,32,0,0,0,16
20200906,63,57,Category 04,0,33,0,65,0,0,32,0,16
20200908,63,57,Category 04,3,31,0,54,0,0,24,0,16
20200910,63,57,Category 04,3,24,0,48,0,0,24,0,16
20200911,63,57,Category 04,0,25,0,64,0,0,40,0,16
20200912,63,57,Category 04,3,23,32,62,32,0,8,0,16
20200915,63,57,Category 04,2,48,0,48,0,0,0,0,16
20200916,63,57,Category 04,3,47,0,46,0,0,0,0,16
20200920,63,57,Category 04,2,38,0,53,0,0,16,0,16
20200927,63,57,Category 04,3,30,0,69,0,0,40,0,16
20200929,63,57,Category 04,3,24,0,55,0,0,32,0,16
20201005,63,57,Category 04,2,31,0,54,0,0,24,0,16
20201009,63,57,Category 04,4,19,0,50,0,16,16,0,16
20201011,63,57,Category 04,3,0,0,0,0,0,0,0,16
20201013,63,57,Category 04,0,24,0,47,0,8,16,0,16
20201016,63,57,Category 04,3,24,16,63,16,0,24,0,16
20201018,63,57,Category 04,2,0,0,0,0,0,0,0,16
20201025,63,57,Category 04,2,35,0,58,0,0,24,0,16
20201027,63,57,Category 04,3,29,0,52,0,0,24,0,16
20201029,63,57,Category 04,3,25,0,96,24,24,24,0,16
20201030,63,57,Category 04,2,48,0,63,0,16,0,0,16
20201103,63,57,Category 04,3,46,0,61,0,0,16,0,16
20201107,63,57,Category 04,6,26,0,58,16,16,0,0,16
20201108,63,57,Category 04,0,29,0,60,16,0,16,0,16
20201113,63,57,Category 04,6,48,16,63,16,0,0,0,16
20201115,63,57,Category 04,8,37,0,53,16,0,0,0,16
20201117,63,57,Category 04,0,51,0,58,0,0,8,0,16
20201118,63,57,Category 04,9,43,0,58,0,0,16,0,16
20201119,63,57,Category 04,4,40,0,63,0,0,24,0,16
20201120,63,57,Category 04,7,34,0,73,0,0,40,0,16
20201121,63,57,Category 04,6,29,32,76,32,0,16,0,16
20201122,63,57,Category 04,3,26,0,90,32,32,0,0,16
20201124,63,57,Category 04,7,53,0,60,0,0,8,0,16
20201128,63,57,Category 04,4,42,0,65,0,0,24,0,16
20201129,63,57,Category 04,4,39,0,86,0,0,48,0,16
20201130,63,57,Category 04,3,37,0,76,0,24,16,0,16
20201202,63,57,Category 04,4,57,0,81,0,0,24,0,16
20201203,63,57,Category 04,0,58,0,81,0,0,24,0,16
20201205,63,57,Category 04,3,50,0,82,0,16,16,0,16
20201206,63,57,Category 04,0,0,16,0,0,0,0,0,16
20201207,63,57,Category 04,0,66,16,90,16,0,8,0,16
20201209,63,57,Category 04,0,81,0,81,0,0,0,0,16
20201212,63,57,Category 04,2,76,0,84,0,0,8,0,16
20201213,63,57,Category 04,0,77,0,84,0,0,8,0,16
20201214,63,57,Category 04,2,75,0,83,0,0,8,0,16
20201218,63,57,Category 04,0,79,0,78,0,0,0,0,16
20201219,63,57,Category 04,5,75,0,74,0,0,0,0,16
20201220,63,57,Category 04,7,1,0,0,0,0,0,0,16
20201221,63,57,Category 04,4,65,0,65,0,0,0,0,16
20201222,63,57,Category 04,0,65,0,65,0,0,0,0,16
20201227,63,57,Category 04,0,59,0,74,0,8,8,0,16
20201229,63,57,Category 04,3,56,8,72,16,0,0,0,16
20201231,63,57,Category 04,0,72,0,72,0,0,0,0,16
20210101,63,57,Category 04,3,71,0,70,0,0,0,0,16
20210104,63,57,Category 04,2,1,0,0,0,0,0,0,16
20210105,63,57,Category 04,2,63,0,71,0,0,8,0,16
20210107,63,57,Category 04,0,60,0,59,0,0,0,0,16
20210108,63,57,Category 04,2,58,0,58,0,0,0,0,16
20210112,63,57,Category 04,0,55,8,63,8,0,0,0,16
20210113,63,57,Category 04,0,55,0,63,8,0,0,0,16
20210114,63,57,Category 04,0,64,0,63,0,0,0,0,16
20210116,63,57,Category 04,3,60,0,60,0,0,0,0,16
20210123,63,57,Category 04,0,55,0,55,0,0,0,0,16
20210124,63,57,Category 04,0,55,0,55,0,0,0,0,16
20210126,63,57,Category 04,0,56,0,55,0,0,0,0,16
20210201,63,57,Category 04,3,49,0,48,0,0,0,0,16
20210203,63,57,Category 04,2,48,0,56,0,0,8,0,16
20210208,63,57,Category 04,0,40,0,40,0,0,0,0,16
20210209,63,57,Category 04,0,40,0,40,0,0,0,0,16
20210210,63,57,Category 04,0,40,0,40,0,0,0,0,16
20210211,63,57,Category 04,0,41,0,48,0,0,8,0,16
20210212,63,57,Category 04,2,39,0,47,0,0,8,0,16
20210213,63,57,Category 04,0,39,0,47,0,0,8,0,16
20210214,63,57,Category 04,0,39,0,39,0,0,0,0,16
20210215,63,57,Category 04,0,39,0,55,0,0,16,0,16
20210216,63,57,Category 04,0,39,0,55,0,0,16,0,16
20210217,63,57,Category 04,0,39,0,47,0,0,8,0,16
20210218,63,57,Category 04,0,39,0,39,0,0,0,0,16
20210219,63,57,Category 04,0,39,0,39,0,0,0,0,16
20210220,63,57,Category 04,0,40,8,47,8,0,0,0,16
20210221,63,57,Category 04,2,46,0,54,0,8,0,0,16
20210222,63,57,Category 04,0,93,0,92,0,0,0,0,16
20210223,63,57,Category 04,4,87,0,86,0,0,0,0,16
20210224,63,57,Category 04,3,44,0,43,0,0,0,0,16
20210225,63,57,Category 04,2,42,0,41,0,0,0,0,16
20210226,63,57,Category 04,6,41,0,40,0,0,0,0,16
20210227,63,57,Category 04,3,33,0,49,0,8,8,0,0
20210228,63,57,Category 04,0,34,8,49,0,8,8,0,0
20210301,63,57,Category 04,3,33,0,49,8,0,8,0,0
20210302,63,57,Category 04,0,40,0,39,0,0,0,0,0
20210303,63,57,Category 04,2,39,0,46,0,0,8,0,0
20210304,63,57,Category 04,2,37,0,37,0,0,0,0,0
20210305,63,57,Category 04,0,37,0,37,0,0,0,0,0
20210306,63,57,Category 04,0,38,0,37,0,0,0,0,16
20210307,63,57,Category 04,3,38,0,37,0,0,0,0,16
20210308,63,57,Category 04,4,32,0,32,0,0,0,0,16
20210309,63,57,Category 04,0,33,0,32,0,0,0,0,16
20210310,63,57,Category 04,2,32,0,31,0,0,0,0,16
20210311,63,57,Category 04,3,30,0,29,0,0,0,0,16
20210312,63,57,Category 04,3,30,0,29,0,0,0,0,16
20210313,63,57,Category 04,2,27,0,34,0,0,8,0,16
20210314,63,57,Category 04,5,23,0,39,0,0,16,0,16
20210315,63,57,Category 04,0,22,0,22,0,0,0,0,16
20210316,63,57,Category 04,0,23,0,22,0,0,0,0,16
20210317,63,57,Category 04,2,22,0,30,0,0,8,0,16
20210318,63,57,Category 04,0,21,0,29,0,0,8,0,16
20210319,63,57,Category 04,0,22,0,29,0,0,8,0,16
20210320,63,57,Category 04,2,21,0,29,0,0,8,0,16
20210321,63,57,Category 04,0,20,0,20,0,0,0,0,16
20210322,63,57,Category 04,0,20,0,36,0,0,16,0,16
20210323,63,57,Category 04,0,20,0,36,0,0,16,0,16
20210324,63,57,Category 04,0,20,0,28,0,0,8,0,16
20210325,63,57,Category 04,0,20,0,36,0,0,16,0,16
20210326,63,57,Category 04,0,20,0,36,0,0,16,0,16
20210327,63,57,Category 04,0,20,0,28,0,0,8,0,16
20210328,63,57,Category 04,0,20,0,28,0,0,8,0,16
20210329,63,57,Category 04,0,20,0,28,0,0,8,0,16
20210330,63,57,Category 04,0,20,0,28,0,0,8,0,16
20210331,63,57,Category 04,0,20,0,28,0,0,8,0,16
20210401,63,57,Category 04,0,20,0,28,0,0,8,0,16
20210402,63,57,Category 04,0,20,0,28,0,0,8,0,16
20210403,63,57,Category 04,0,20,0,20,0,0,0,0,16
20210404,63,57,Category 04,0,20,0,20,0,0,0,0,16
20210405,63,57,Category 04,0,20,0,20,0,0,0,0,16
20210406,63,57,Category 04,0,20,0,20,0,0,0,0,16
20210407,63,57,Category 04,0,20,0,20,0,0,0,0,16
20210408,63,57,Category 04,0,20,0,20,0,0,0,0,16
20210409,63,57,Category 04,0,20,0,20,0,0,0,0,16
20210410,63,57,Category 04,0,20,0,20,0,0,0,0,16
20210411,63,57,Category 04,0,21,0,20,0,0,0,0,16
20210412,63,57,Category 04,2,20,0,20,0,0,0,0,16
20210413,63,57,Category 04,0,19,0,27,0,0,8,0,16
20210414,63,57,Category 04,0,20,0,27,0,0,8,0,16
20210415,63,57,Category 04,4,20,0,19,0,0,0,0,16
20210416,63,57,Category 04,4,17,0,16,0,0,0,0,16
20210417,63,57,Category 04,5,10,0,9,0,0,0,0,16
20210418,63,57,Category 04,4,10,0,9,0,0,0,0,16
20210419,63,57,Category 04,4,7,0,22,0,0,16,0,16
20210420,63,57,Category 04,2,2,0,18,0,0,16,0,16
20210421,63,57,Category 04,0,2,0,18,0,0,16,0,16
20210422,63,57,Category 04,0,2,0,34,0,0,32,0,16
20210423,63,57,Category 04,0,2,0,26,0,16,8,0,0
20210424,63,57,Category 04,0,2,16,18,16,0,0,0,16
20210425,63,57,Category 04,0,0,0,24,16,0,8,0,16
20210426,63,57,Category 04,0,16,0,24,0,0,8,0,16
20210427,63,57,Category 04,0,17,0,24,0,0,8,0,16
20210428,63,57,Category 04,2,16,0,23,0,0,8,0,16
20210429,63,57,Category 04,5,12,0,19,0,0,8,0,16
20210501,63,57,Category 04,3,1,8,0,0,0,0,0,16
20190101,98,64,Category 01,5,15,0,15,0,0,0,0,20
20190102,98,64,Category 01,5,14,0,24,0,0,12,0,20
20190104,98,64,Category 01,6,9,0,19,0,12,0,0,20
20190112,98,64,Category 01,6,4,0,26,0,0,24,0,20
20190119,98,64,Category 01,5,19,0,19,0,0,0,0,20
20190120,98,64,Category 01,0,19,0,31,0,0,12,0,20
20190121,98,64,Category 01,0,21,0,31,0,0,12,0,20
20190127,98,64,Category 01,8,14,0,26,0,12,0,0,20
20190129,98,64,Category 01,0,13,12,35,12,0,12,0,20
20190131,98,64,Category 01,3,22,0,34,0,12,0,0,20
20190204,98,64,Category 01,0,33,0,31,0,0,0,0,20
20190205,98,64,Category 01,9,26,0,24,0,0,0,0,20
20190206,98,64,Category 01,3,25,0,23,0,0,0,0,20
20190209,98,64,Category 01,3,21,0,33,0,0,12,0,20
20190210,98,64,Category 01,0,23,0,33,0,0,12,0,20
20190211,98,64,Category 01,4,19,0,31,0,12,0,0,20
20190215,98,64,Category 01,0,30,0,28,0,0,0,0,20
20190216,98,64,Category 01,4,28,0,26,0,0,0,0,20
20190220,98,64,Category 01,4,24,0,34,0,12,0,0,20
20190221,98,64,Category 01,3,23,0,33,0,12,0,0,20
20190222,98,64,Category 01,3,20,0,32,0,12,0,0,20
20190225,98,64,Category 01,0,27,0,27,0,0,0,0,20
20190226,98,64,Category 01,0,29,0,27,0,0,0,0,20
20190227,98,64,Category 01,4,27,0,37,0,12,0,0,20
20190301,98,64,Category 01,5,35,0,33,0,0,0,0,20
20190302,98,64,Category 01,9,28,0,26,0,0,0,0,24
20190303,98,64,Category 01,8,22,0,20,0,0,0,0,24
20190310,98,64,Category 01,6,22,0,22,0,0,0,0,24
20190311,98,64,Category 01,0,24,0,22,0,0,0,0,24
20190312,98,64,Category 01,4,22,0,32,0,12,0,0,24
20190314,98,64,Category 01,5,18,0,28,0,12,0,0,24
